pattern,meaning_cn,core_usage,example,source_scope,source_type,difficulty,confusable_with,notes
い。,表达的意义或功能。AうちにVうちに表示某种状态的持续期间。,表达的意义或功能。AうちにVうちに表示某种状态的持续期间。,熱いうちに食べてください。 || お客さんが来ていないうち に、部屋を掃除する。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
お（ご）Vする,对听话人或话题中所涉人物表示尊重（自谦）。,对听话人或话题中所涉人物表示尊重（自谦）。,わたしがお手伝いします。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
お（ご）Vになる,对听话人或话题中所涉人物表示尊重（尊他）。,对听话人或话题中所涉人物表示尊重（尊他）。,田中さんはあしたお帰りに,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
なります。,│ 附录 │VかVないかV1かV2か表示在并列的同一动词的肯定和否定意义之间作出选择、判断；或者表示在意思完全相反的两个动作之间作出选择、判断。,│ 附录 │VかVないかV1かV2か表示在并列的同一动词的肯定和否定意义之间作出选择、判断；或者表示在意思完全相反的两个动作之间作出选择、判断。,川村さんが来るか来ないか （が）分からない。 || 川村さんは行くか止めるか を決めかねている。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nがする,表示知觉、感受、感觉。N 为表示此类感觉的名词。,表示知觉、感受、感觉。N 为表示此类感觉的名词。,車のブレーキの音がした。 || みんながわたしのことを笑っ ているような気がする。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nかどうか / Sかどうか,表示需要在肯定与否之间作出选择、判断。,表示需要在肯定与否之间作出选择、判断。,賛成かどうかははっきり 言ってください。 || 彼が来るかどうか分からな,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
い。 / Nかもしれない / Sかもしれない,表示说话人对某事实的推断。,表示说话人对某事实的推断。,あの人はアメリカ人かもしれ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
ない。,,,あしたは雨が降るかもしれな,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
い。 / Nから,（1）表示出发点和角度。（2）表示动作发出者。（3）表示事情的起因等。,（1）表示出发点和角度。（2）表示动作发出者。（3）表示事情的起因等。,理論から説明してください。 || 先生から褒められた。 || タバコの不始末から火事が 起きた。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nくらい／Nぐらい / Vくらい／Vぐらい / Sくらい／Sぐらい,表示程度。,表示程度。,それぐらいはできるだろう。 || 聞き取れないくらい声が小,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
さかった。,,,少なくとも意見交換を行う,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
くらいはしておくだろう。 / くれる,授受关系动词，表示物品等的授予或者接受的意思。,授受关系动词，表示物品等的授予或者接受的意思。,木村さんは妹に絵の具をく,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
れた。 / Nこそ,表达强调的语气。,表达强调的语气。,わたしこそ失礼しました。 普通高中日语课程标准（2017年版2020年修订）,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vことがある,常态性信息和事实。表示经常发生的情况。,常态性信息和事实。表示经常发生的情况。,ときどき、1人で食事するこ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
とがある。 / Vことにする,表示动作主体的主观意志决定。,表示动作主体的主观意志决定。,わたしは今度の夏休みに海 へ行くことにした。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vことになる,表示客观原因导致的结果，或者组织、他人等决定的结果状态。,表示客观原因导致的结果，或者组织、他人等决定的结果状态。,雨で野球の試合を中止する,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
ことになった。 / Nさえ,表示极端的示例。,表示极端的示例。,彼は自分の名前さえ書けな,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
い。 / NさえVば,提示极端示例作为充分的条件。,提示极端示例作为充分的条件。,これさえあれば十分だ。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Sし,表示句子的并列关系。,表示句子的并列关系。,雨が降っているし、頭も痛 いから今日は家にいよう。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Aする,表示人为地使之发生变化或者变化的结果。,表示人为地使之发生变化或者变化的结果。,学生全員がよく聞こえるよ うに音を大きくした。 || 部屋をきれいにする。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
V（さ）せる,使役句形式，表示主体让别人做某个动作。,使役句形式，表示主体让别人做某个动作。,お母さんは娘を買い物に行か,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
せた。,,,空気が悪いので、生徒に窓 を開けさせた。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Aそうだ / Vそうだ,从事物的状态上作出推测性判断。,从事物的状态上作出推测性判断。,おいしそうだね。 || 雨が降りそうだ。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vたことがある,表示过去发生过的事件、已经存在的事实、拥有的经历等。,表示过去发生过的事件、已经存在的事实、拥有的经历等。,日本に行ったことがある。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vたばかりだ,表示事情刚刚发生。,表示事情刚刚发生。,ぼくも今、来たばかりだ。 │ 附录 │,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vたまま,表示在保持某状态下做某个动作，或者表示某状态出现后一直无变化。,表示在保持某状态下做某个动作，或者表示某状态出现后一直无变化。,座ったまま質問に答えてもい,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
いよ。,,,机も椅子も昔と同じところ に置かれたままになってい,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
る。 / Nのため（に） / Aため（に） / Vため（に）,因果关系复句。从句表示原因。,因果关系复句。从句表示原因。,風邪のため、学校を休む。 || 雨が激しいため、今日は客 が少ない。 || 体が不自由なために、大変 苦労した。 || 事故があったために、道が 込んでいる。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nのため（に） / Vため（に）,目的关系复句。从句表示目的。,目的关系复句。从句表示目的。,健康のために、毎日運動して,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
いる。,,,餃子を作るために、野菜や 肉を買ってきた。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
V1たら、V2た,动作的继起或契机。,动作的继起或契机。,手紙を出したら、返事がすぐ 来た。 || 今朝窓を開けたら、外は雪 が降っていた。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
S って。,表示转述。,表示转述。,彼も行きたいって。 || あの店の料理、おいしいん,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
だって。 / Vつもりだ,表示说话人的打算、计划。,表示说话人的打算、计划。,今度の日曜日は映画を見に 行くつもりだ。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nで,接在状态性名词后，表示动作的状态。,接在状态性名词后，表示动作的状态。,張さんはいつも笑顔で質問 に答えている。 普通高中日语课程标准（2017年版2020年修订）,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vてあげる,授受关系动词的补助动词用法，表示说话人或者说话人一方的人为别人做某事。与“V てやる”相比，表达的语气较谦恭。,授受关系动词的补助动词用法，表示说话人或者说话人一方的人为别人做某事。与“V てやる”相比，表达的语气较谦恭。,（わたしは）いとこに本を読,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
んであげた。 / Vていく,表示“体”的语言形式。表示动作从现在向将来的持续，也可表示某事物从现在逐渐向将来发生变化。,表示“体”的语言形式。表示动作从现在向将来的持续，也可表示某事物从现在逐渐向将来发生变化。,これからも、ずっと教えて,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
いくつもりだ。,,,これから、どんどん暑く,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
なっていく。 / Vていただく,授受关系动词的补助动词用法，表示说话人或者说话人一方的人请别人做某事。与“Vてもらう”相比，表达的语气更谦恭。,授受关系动词的补助动词用法，表示说话人或者说话人一方的人请别人做某事。与“Vてもらう”相比，表达的语气更谦恭。,コンピューターが動かなく なったので、丁先生に直し,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
ていただいた。 / Vている,表示“体”的语言形式。表示动作后其作用的有效性。,表示“体”的语言形式。表示动作后其作用的有效性。,劉さんはこれについて次の ように話している。 || そのことについては、すで に電話で知らせている。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vておく,表示“体”的语言形式。表示为了某个目的，预先做好某事。,表示“体”的语言形式。表示为了某个目的，预先做好某事。,あしたまでに、作文を書い,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
ておいてください。 / Vてくださる,授受关系动词的补助动词用法，表示说话人以外的人为说话人或者说话人一方的人做某事。与“V てくれる”相比，表达的语气更谦恭。,授受关系动词的补助动词用法，表示说话人以外的人为说话人或者说话人一方的人做某事。与“V てくれる”相比，表达的语气更谦恭。,先生は作文を褒めてくださ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
いました。,│ 附录 │Vてくる表示“体”的语言形式。表示动作从过去持续到现在，也可表示某事物从过去逐渐变化到现在。,│ 附录 │Vてくる表示“体”的语言形式。表示动作从过去持续到现在，也可表示某事物从过去逐渐变化到现在。,子どもたちを、今まで6 年 間も教えてきた。 || 寒くなってきたね。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vてくれる,授受关系动词的补助动词用法，表示说话人以外的人为说话人或者说话人一方的人做某事。,授受关系动词的补助动词用法，表示说话人以外的人为说话人或者说话人一方的人做某事。,姉はよく料理を作ってくれ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
る。 / Vてはいけない,表示禁止的意思。,表示禁止的意思。,うそをついてはいけない。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vてばかりいる,表示限定，只有一个倾向。,表示限定，只有一个倾向。,彼は遊んでばかりいる。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Aても / Vても,（1）表示转折性假定关系，或者表示无条件关系。（2）转折关系复句。从句表示提示性条件，主句表示推断性事实。,（1）表示转折性假定关系，或者表示无条件关系。（2）转折关系复句。从句表示提示性条件，主句表示推断性事实。,どんなに高くても買いたい。 || 今から行っても間に合わな,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
い。 / Nでも,（1）表示示例、举例。（2）表示极端的示例。（3）（接疑问词后）表示全部认可。,（1）表示示例、举例。（2）表示极端的示例。（3）（接疑问词后）表示全部认可。,時間があるから、お茶でも 飲みましょうか。 || そんな簡単なことは子ども でも分かる。 || 家の近くだったらどこでもい,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
い。 / Vてほしい,表示说话人要求别人做某事，或者表示说话人的期待和愿望。,表示说话人要求别人做某事，或者表示说话人的期待和愿望。,関係者にこの問題を早く解 決してほしい。 || 早く秋が来てほしい。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vてもいい,表示许可和允许做某件事。,表示许可和允许做某件事。,試験が終わった人は帰って,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
もいい。 / Vてもらう,授受关系动词的补助动词用法，表示说话人或者说话人一方请别人做某事。,授受关系动词的补助动词用法，表示说话人或者说话人一方请别人做某事。,ぼくは中村さんから年賀状 の書き方を教えてもらった。 普通高中日语课程标准（2017年版2020年修订）,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vてやる,授受关系动词的补助动词用法，表示说话人或者说话人一方的人为别人做某事。,授受关系动词的补助动词用法，表示说话人或者说话人一方的人为别人做某事。,弟におもちゃを買ってやっ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
た。 / Vと,（1）时间复句。连接两个先后发生的事件。从主句为同一主体的动作时，表示连续动作；从主句为不同主体时，从句表示发现主句动作或者状态的时间点。（2）条件关系复句。从句表示条件，和主句构成反复性、规律性的条件关系。,（1）时间复句。连接两个先后发生的事件。从主句为同一主体的动作时，表示连续动作；从主句为不同主体时，从句表示发现主句动作或者状态的时间点。（2）条件关系复句。从句表示条件，和主句构成反复性、规律性的条件关系。,先生は教室に入ってくると、 早速授業を始めた。 || 家へ帰ると、すぐ電話がか,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
かってきた。,,,デパートへ行くと、チョコ レートが山積みになってい,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
た。,,,春になると、山には一面に きれいな花が咲く。 || 彼は酒を飲むと顔が赤くな,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
る。 / SというN,“S という”表示概述或者转述内容，修饰名词。,“S という”表示概述或者转述内容，修饰名词。,山田さんから、今日は出席 できないという連絡があっ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
た。 / Nとか / Aとか / Vとか,表示示例、举例等。口语性较强。,表示示例、举例等。口语性较强。,みかんとかバナナとか、何 か果物を食べたほうがいい。 || 家の広告には、駅に近いと か広いとか、いろいろな言 葉が書かれている。 || 散歩するとか体操するとか、 何か運動したほうがいい。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vところだ,动作的阶段。,动作的阶段。,今、小説を読む（読んでいる／ 読んだ／読んでいた）ところ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
だ。 / Nとして,表示身份、资格。,表示身份、资格。,クラスの代表として、報告す,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
る。,│ 附录 │Nとなる表示变化结果。,│ 附录 │Nとなる表示变化结果。,雪が溶けて水となる。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Aながら（も） / Vながら（も）,转折关系复句。,转折关系复句。,忙しいながら、元気に過ご,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
していた。,,,ここは静かながらも、いろ んな店があって、とても便 利ですね。 || 注意していながら、間違え,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
てしまった。 / Vなくてもいい,表示许可和允许不做某事。,表示许可和允许不做某事。,嫌いなら、食べなくてもい,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
い。 / Vなければならな / い,陈述义务、要求。,陈述义务、要求。,このことはみんなで相談し,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
なければならない。 / Vなら,（1）条件关系复句。从句表示假设关系，主句一般表示说话人的主张或者要求等。（2）条件关系复句。从句承继对方的话或想法等，主句一般表示说话人的主张或者要求等。,（1）条件关系复句。从句表示假设关系，主句一般表示说话人的主张或者要求等。（2）条件关系复句。从句承继对方的话或想法等，主句一般表示说话人的主张或者要求等。,旅行に行くなら、カメラを 持っていったほうがいい。 || 携帯電話を持っているよ。 ――携帯電話があるなら、 いつでも連絡できるね。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nなら（ば）,接在名词后，表示主题，常用于提出话题，话题内容可以是对方说过的话或者双方谈话中已知的事项。,接在名词后，表示主题，常用于提出话题，话题内容可以是对方说过的话或者双方谈话中已知的事项。,A: あれ、わたしのかばん、,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
どこにあるのかな。,B: かばんなら、玄関の所に置いてありましたよ。,B: かばんなら、玄関の所に置いてありましたよ。,期末試験のことならば、も う学生に伝えました。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nに,接在状态性名词后，表示起因。,接在状态性名词后，表示起因。,あまりの寒さに体が震え出,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
した。,,,彼の厚かましさに本当に 困ってしまった。 普通高中日语课程标准（2017年版2020年修订） Nに対して （Nに対する） （1）表示动作、感情指 向的对象。 （2）表示比例、对比。 || 相手がしてくれたことに対 して／に対する感謝の気持 ちを伝える。 || 学生に対して／に対する説 明は非常に丁寧だ。 || 水は大体小麦粉の重さに対,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
して40%ぐらいだ。,,,日本では20歳になると成人 と認められるのに対して、 中国では18 歳は成人にな る年齢である。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nについて,表示思考、谈论等动作或者行为等所涉及的对象或内容。,表示思考、谈论等动作或者行为等所涉及的对象或内容。,王さんは中国の古い家につ いて話した。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nにとって,表示判断、评价的视点、立场。,表示判断、评价的视点、立场。,子どもは親にとって一番大 切だ。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nによって,（1）表示现象、判断的根据。（2）表示手段、方法、材料。（3）表示原因。,（1）表示现象、判断的根据。（2）表示手段、方法、材料。（3）表示原因。,野菜は季節によって種類は 違う。 || 習った単語との比較によっ て新しい単語の意味を覚え,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
る。,,,戦争によって多くの人が家 族を亡くした。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nなのに / Aのに / Vのに,转折关系复句。对从句和主句中存在的相应关系表达不可思议或者不满等语气。,转折关系复句。对从句和主句中存在的相应关系表达不可思议或者不满等语气。,あしたは日曜日なのに、学 校へ行かなければならない。 || おいしいのに、だれも食べ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
なかった。,,,この歌は有名なのに、李さ んは知らなかった。 || 電池を替えたのに、時計が 動かない。 │ 附录 │,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
N1はN2が～,“N1 は”表示主题，“N2が～”是对主题N1 的描述。,“N1 は”表示主题，“N2が～”是对主题N1 的描述。,象は鼻が長い。 || 田中さんは中国語が分かる。 || 王さんは日本語の歌が上手,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
だ。 / Aば、～のに / Vば、～のに,条件关系复句，用于反事实的假设条件。从句表示非事实的假设条件，主句表示说话人的悔恨、惋惜、不满等语气。,条件关系复句，用于反事实的假设条件。从句表示非事实的假设条件，主句表示说话人的悔恨、惋惜、不满等语气。,もう少し長ければ、使える,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
のに。,,,準備時間が十分であれば、 もう少し上手にできたのに。 || お金があれば、旅行に行く,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
のに。,,,王さんが行ってくれれば、 今度の旅行がもっと楽しい,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
のに。,,,前もって連絡の電話をして おけば、彼女に会えたのに。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
AばAほど / VばVほど,表示程度的递进。,表示程度的递进。,早ければ早いほどいい。 || 新鮮なら（ば）新鮮なほど,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
おいしい。,,,読めば読むほどおもしろい。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nばかり,接在名词后，表示排除性限定。,接在名词后，表示排除性限定。,日曜日はテレビばかり見てい,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
る。 / Vはずだ / Vはずはない,表示有根据的推断。,表示有根据的推断。,今は会場に着いているはず,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
だ。,,,その申し出を断るはずはな,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
い。 / Nのほう / Aほう / Vほう,突出所比较双方中的一方。,突出所比较双方中的一方。,わたしのほうが遅かった。 || ズボンは細いほうが好きだ。 || 好きなほうを選んでくださ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
い。,,,みんなで食べるほうがおい しいと思う。 普通高中日语课程标准（2017年版2020年修订）,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Aほど / Vほど,表示程度。,表示程度。,この本はおもしろいほどよ く売れる。 || 本当に死ぬほど疲れた。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nまで,（1）表示极端的示例。（2）表示范围的界定。,（1）表示极端的示例。（2）表示范围的界定。,あなたまで（も）そうおっ しゃると、困りますね。 || 中学生までは無料だ。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nまでに,一般接在时间名词后，表示时间的截点。,一般接在时间名词后，表示时间的截点。,父はいつも午後6 時までに 帰って来る。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
～もA1 ば、～も / A2 / ～もN1 ならば、 / ～もN2 だ / ～もV1 ば、～も / V2,并列或者列举两个事物或者事件。,并列或者列举两个事物或者事件。,この服は値段も安ければ、,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
デザインもいい。,,,李さんは歌も上手なら （ば）、ダンスも得意だ。 || 月曜日は博物館も休みなら （ば）、図書館も休館だ。 || 歌を歌う人もいれば、音楽 を聴く人もいる。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Sようだ,表示根据说话人的知觉或经验作出推测或判断。,表示根据说话人的知觉或经验作出推测或判断。,図書館で、いろいろ探した が、その小説はないようだ。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Nのようだ / Vようだ,（1）表示比喻、类比。（2）表示示例、举例。,（1）表示比喻、类比。（2）表示示例、举例。,ここの景色はまるで絵のよ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
うだ。,,,隣のおじさんのように親切 な人はいない。 || （まるで）外国に来たような 気分だ。 || 後で後悔するようなことは,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
したくない。 / Vようにする,表示努力的目标。,表示努力的目标。,字を大きくして、遠くから でも見えるようにした。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vようになる,表示某种状态的变化结果。,表示某种状态的变化结果。,三回だけ練習して、この歌 が歌えるようになった。 │ 附录 │,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Sらしい,表示有外部信息来源，以该信息为依据作出推测或判断。,表示有外部信息来源，以该信息为依据作出推测或判断。,台風が接近しているらしく､ 風雨が強まってきた。 || 母の話では、隣の子はよく 勉強するらしい。 || このピンクの大きなかばん は林さんのらしい。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
V（ら）れる,（1）在【N にV られる】被动态句式中，【N に】是动作发出者，表示主语被【Nに】实施了该动作的意思。（2）在【NにNをVられる】被动态句式中，【Nに】是动作发出者，【Nを】是动作涉及物，表示主语被实施了该动作或受到该动作的影响，常含有受到损害的意思。（3）表示具备做某种动作的能力，或者具有某种可能性。（4）对听话人或话题中所涉人物表示尊重（尊他）。,（1）在【N にV られる】被动态句式中，【N に】是动作发出者，表示主语被【Nに】实施了该动作的意思。（2）在【NにNをVられる】被动态句式中，【Nに】是动作发出者，【Nを】是动作涉及物，表示主语被实施了该动作或受到该动作的影响，常含有受到损害的意思。（3）表示具备做某种动作的能力，或者具有某种可能性。（4）对听话人或话题中所涉人物表示尊重（尊他）。,子どもの時はよく親に怒ら,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
